class,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
-1,0.688737232,-0.801051834,1.347110633,0.542949964,-0.916282276,-0.347964952,-0.190905831,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,-0.488358468,0.037380391
-1,-1.451932543,-0.751240443,0.450547949,0.542949964,0.170498593,-0.347964952,-0.615535872,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.139591165,-0.195413339
-1,-1.451932543,-0.167856189,-0.604822923,-1.783978455,-0.916282276,-0.347964952,-0.291082636,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,0.557943442,-0.195413339
1,-1.451932543,-0.835666529,1.355151554,-1.783978455,-0.644587059,-0.850257455,-0.664876687,0.954650376,1.157144352,1.769760393,1.087908224,0.237827652,-1.069637307,-0.195413339
1,0.688737232,-0.962305658,0.685744886,0.542949964,-0.372891842,-0.347964952,-0.078767616,0.954650376,1.157144352,2.38711867,-0.919195184,0.237827652,-0.720870004,-0.165065642
1,-1.451932543,-1.328714871,-0.839014745,0.542949964,0.170498593,1.661205062,-0.216323826,0.954650376,1.157144352,-0.082314437,-0.919195184,0.237827652,-0.488358468,-0.195413339
-1,0.688737232,-1.194477394,0.350036438,0.542949964,-1.187977493,-0.347964952,-0.627497282,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.720870004,-0.176205936
1,-1.451932543,2.288098652,-0.06005053,0.542949964,0.985584244,1.661205062,0.244190444,0.954650376,1.157144352,0.740829932,-0.919195184,0.237827652,-0.819687406,-0.08785188
-1,0.688737232,-0.315601839,-0.75559019,-1.783978455,-1.45967271,1.661205062,0.232229034,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-0.04658655,-0.092269582
-1,-1.451932543,2.041574481,0.466629791,0.542949964,-0.916282276,1.661205062,1.353611185,0.954650376,1.157144352,0.123471655,1.087908224,0.237827652,-0.488358468,-0.185809637
1,0.688737232,0.163094068,-0.604822923,0.542949964,1.800669896,1.661205062,0.680781894,0.954650376,1.157144352,0.329257748,1.087908224,0.237827652,0.400998156,-0.030805891
1,0.688737232,0.831748669,0.048501903,0.542949964,0.985584244,1.661205062,0.830299514,0.954650376,1.157144352,0.740829932,1.087908224,0.237827652,1.662373236,-0.195413339
-1,0.688737232,-0.920092615,-0.705334434,-1.783978455,0.170498593,1.661205062,-0.253703231,0.954650376,1.157144352,0.123471655,1.087908224,0.237827652,-0.255846932,-0.155077792
1,0.688737232,0.28297911,0.048501903,0.542949964,1.800669896,1.661205062,1.577887615,0.954650376,1.157144352,0.740829932,1.087908224,0.237827652,-1.069637307,-0.003339305
-1,0.688737232,2.280500305,-0.41184082,0.542949964,0.170498593,-0.347964952,0.057293418,-1.047503908,-0.864196415,-0.493886621,1.087908224,0.237827652,0.790454978,-0.195413339
1,0.688737232,1.394026402,0.257565847,0.542949964,-0.916282276,-0.347964952,-0.652915277,-1.047503908,-0.864196415,-0.493886621,-0.919195184,0.237827652,-1.069637307,0.321265814
